iter	Passed	Remaining
0	954	953647
1	1833	914750
2	2618	870051
3	3546	883106
4	4488	893124
5	5394	893730
6	6107	866395
7	6971	864491
8	7942	874512
9	8932	884358
10	9775	878902
11	10409	857031
12	11229	852574
13	12014	846171
14	12853	844052
15	13653	839707
16	14464	836415
17	15391	839676
18	16036	827981
19	16711	818859
20	17451	813557
21	18144	806623
22	19144	813241
23	20106	817648
24	21017	819671
25	21767	815444
26	22623	815299
27	23527	816741
28	24347	815206
29	25120	812216
30	26160	817736
31	26929	814617
32	27713	812096
33	28589	812278
34	29558	814961
35	30611	819695
36	31390	816995
37	32295	817585
38	32961	812210
39	33687	808498
40	34468	806227
41	35227	803514
42	36180	805234
43	37142	807013
44	38060	807724
45	38790	804475
46	39910	809258
47	40644	806123
48	41572	806836
49	42389	805400
50	43436	808252
51	44256	806822
52	44970	803536
53	45864	803473
54	46552	799858
55	47236	796279
56	47840	791470
57	48846	793331
58	49574	790677
59	50380	789300
60	51457	792101
61	52482	794008
62	53488	795539
63	54474	796692
64	55079	792304
65	55831	790106
66	56712	789744
67	57460	787542
68	58317	786869
69	59101	785202
70	59836	782927
71	60819	783890
72	61891	785935
73	62515	782285
74	63249	780073
75	63878	776623
76	64879	777715
77	65854	778433
78	66530	775626
79	67175	772521
80	67739	768555
81	68555	767484
82	69510	767961
83	70603	769909
84	71488	769550
85	72189	767227
86	72918	765221
87	73810	764950
88	74556	763156
89	75992	768368
90	77026	769422
91	78009	769916
92	78826	768772
93	79495	766199
94	80376	765689
95	81186	764509
96	82158	764836
97	82802	762117
98	83652	761324
99	84548	760934
100	85361	759802
101	86029	757396
102	86822	756116
103	87642	755069
104	88437	753821
105	89163	751999
106	89957	750763
107	90818	750090
108	91861	750906
109	92725	750235
110	93427	748259
111	94034	745558
112	94745	743706
113	95427	741653
114	96268	740850
115	96958	738894
116	97552	736231
117	98231	734239
118	98917	732323
119	99747	731479
120	100675	731350
121	101492	730414
122	102300	729413
123	103175	728884
124	103728	726097
125	104414	724273
126	105198	723133
127	105985	722025
128	106683	720317
129	107437	719003
130	108025	716596
131	108940	716366
132	109512	713892
133	110310	712901
134	111216	712607
135	112237	713040
136	113135	712670
137	113955	711811
138	114681	710367
139	115366	708682
140	116133	707509
141	116897	706325
142	117712	705451
143	118576	704872
144	119355	703786
145	119948	701614
146	120562	699589
147	121250	698008
148	121956	696544
149	122614	694814
150	123348	693531
151	124007	691829
152	124698	690324
153	125581	689880
154	126601	690183
155	127627	690495
156	128299	688896
157	129188	688461
158	129736	686218
159	130555	685418
160	131310	684281
161	131969	682659
162	132739	681611
163	133742	681760
164	134743	681884
165	135471	680623
166	136168	679212
167	137191	679423
168	137740	677290
169	138301	675236
170	139228	674975
171	140170	674776
172	140837	673251
173	141752	672915
174	142439	671499
175	143201	670442
176	143835	668796
177	144467	667148
178	145164	665812
179	146002	665122
180	146895	664683
181	147458	662752
182	148055	660989
183	148650	659233
184	149403	658184
185	150154	657126
186	150885	655989
187	151508	654388
188	152193	653064
189	153084	652625
190	153790	651393
191	154543	650370
192	155117	648599
193	155831	647422
194	156724	646989
195	157466	645932
196	158203	644861
197	159139	644594
198	159793	643188
199	160360	641443
200	161128	640505
201	161827	639300
202	162485	637933
203	163201	636804
204	163893	635586
205	164602	634437
206	165272	633143
207	165931	631817
208	166782	631220
209	167507	630145
210	168291	629299
211	169018	628238
212	170011	628164
213	170695	626947
214	171358	625658
215	172046	624465
216	172801	623520
217	173717	623150
218	174603	622673
219	175443	622027
220	176577	622414
221	177241	621144
222	178107	620579
223	178604	618737
224	179268	617479
225	180056	616653
226	180695	615321
227	181440	614350
228	182102	613103
229	182676	611569
230	183382	610482
231	184025	609189
232	184830	608434
233	185548	607393
234	186328	606558
235	187189	605986
236	187819	604666
237	188525	603598
238	189385	603022
239	190279	602550
240	191133	601952
241	192037	601505
242	193016	601291
243	193669	600058
244	194526	599460
245	195232	598396
246	195884	597170
247	196650	596295
248	197371	595283
249	197950	593851
250	198808	593257
251	199546	592303
252	200376	591624
253	201260	591103
254	201917	589914
255	202602	588814
256	203308	587774
257	204088	586952
258	205078	586729
259	205842	585858
260	206837	585644
261	207508	584507
262	208179	583378
263	209039	582777
264	209771	581820
265	210554	581002
266	211209	579836
267	212047	579174
268	212627	577809
269	213506	577258
270	214323	576537
271	215186	575941
272	215935	575037
273	216904	574718
274	217666	573848
275	218147	572241
276	218656	570715
277	219168	569208
278	219767	567930
279	220556	567145
280	221292	566225
281	221889	564953
282	222556	563862
283	223252	562848
284	223807	561482
285	224680	560915
286	225429	560039
287	225954	558608
288	226475	557175
289	227165	556164
290	228024	555564
291	228922	555059
292	229942	554844
293	230781	554190
294	231447	553121
295	232046	551893
296	232985	551476
297	233806	550779
298	234688	550223
299	235442	549365
300	236180	548471
301	236877	547485
302	237536	546411
303	238297	545576
304	239047	544715
305	240027	544376
306	240992	543999
307	241756	543168
308	242421	542113
309	243194	541303
310	244113	540816
311	244900	540036
312	245614	539095
313	246298	538091
314	247067	537274
315	247714	536192
316	248470	535347
317	249194	534436
318	249764	533195
319	250279	531843
320	250845	530604
321	251410	529367
322	251996	528178
323	252560	526947
324	253205	525888
325	253921	524979
326	254638	524073
327	255312	523080
328	255725	521555
329	256190	520144
330	256567	518560
331	256906	516908
332	257292	515357
333	257718	513893
334	258239	512625
335	258748	511337
336	259246	510030
337	259643	508533
338	260057	507074
339	260572	505817
340	261175	504734
341	261728	503559
342	262176	502185
343	262683	500931
344	263346	499976
345	263842	498708
346	264352	497469
347	264803	496126
348	265174	494637
349	265887	493791
350	266608	492958
351	267324	492120
352	268249	491664
353	268952	490800
354	269496	489647
355	269824	488109
356	270213	486687
357	270616	485295
358	271175	484188
359	271556	482767
360	272004	481470
361	272464	480199
362	272964	479003
363	273313	477547
364	273639	476057
365	274011	474654
366	274477	473417
367	274939	472179
368	275251	470687
369	275640	469334
370	276004	467943
371	276334	466500
372	276674	465080
373	277053	463731
374	277467	462445
375	277805	461038
376	278244	459803
377	278809	458781
378	279426	457846
379	279949	456760
380	280376	455519
381	280749	454197
382	281164	452945
383	281573	451690
384	282092	450615
385	282583	449498
386	283065	448369
387	283507	447181
388	283878	445886
389	284414	444853
390	284831	443637
391	285245	442422
392	285673	441230
393	286129	440087
394	286508	438829
395	287013	437767
396	287353	436459
397	287776	435279
398	288254	434187
399	288609	432914
400	289128	431890
401	289465	430598
402	289887	429436
403	290338	428320
404	290668	427031
405	291088	425878
406	291413	424590
407	291688	423234
408	292070	422038
409	292473	420876
410	292920	419781
411	293485	418858
412	294133	418054
413	294541	416911
414	295011	415859
415	295386	414677
416	295720	413441
417	296123	412305
418	296535	411186
419	297005	410150
420	297523	409182
421	297927	408061
422	298332	406945
423	298834	405964
424	299274	404900
425	299774	403921
426	300192	402833
427	300529	401641
428	300879	400471
429	301277	399368
430	301767	398389
431	302209	397348
432	302508	396125
433	303018	395181
434	303390	394058
435	303655	392802
436	304045	391711
437	304490	390693
438	304860	389583
439	305209	388448
440	305507	387252
441	306019	386332
442	306540	385423
443	306992	384432
444	307468	383471
445	307926	382492
446	308285	381390
